country,year,week,n,b117
Denmark,2020,46,1315,4
Denmark,2020,47,1635,0
Denmark,2020,48,1650,3
Denmark,2020,49,1945,3
Denmark,2020,50,2531,11
Denmark,2020,51,3179,23
Denmark,2020,52,3069,61
Denmark,2020,53,3305,76
Denmark,2021,1,3615,143
Denmark,2021,2,3390,249
Denmark,2021,3,3009,395
Switzerland,2020,51,2481,1
Switzerland,2020,52,1905,9
Switzerland,2020,53,2581,21
Switzerland,2021,1,2365,63
Switzerland,2021,2,1869,92
Switzerland,2021,3,1232,99
UK,2020,41,6607,4
UK,2020,42,6528,3
UK,2020,43,8558,30
UK,2020,44,7282,72
UK,2020,45,10099,276
UK,2020,46,10410,658
UK,2020,47,6309,683
UK,2020,48,4001,421
UK,2020,49,3951,553
UK,2020,50,9087,3003
UK,2020,51,11234,5146
UK,2020,52,6482,3335
UK,2020,53,9098,6420
UK,2021,1,8961,6615
UK,2021,2,8418,6698
UK,2021,3,1126,971
UK S-dropout,2020,41,53602,1309
UK S-dropout,2020,42,57070,1349
UK S-dropout,2020,43,83087,2059
UK S-dropout,2020,44,84395,2639
UK S-dropout,2020,45,90325,3620
UK S-dropout,2020,46,87372,5279
UK S-dropout,2020,47,67999,5875
UK S-dropout,2020,48,48829,7813
UK S-dropout,2020,49,49454,13954
UK S-dropout,2020,50,69733,32616
UK S-dropout,2020,51,88318,55361
UK S-dropout,2020,52,100948,71366
UK S-dropout,2020,53,145772,110942
UK S-dropout,2021,1,143712,116349
UK S-dropout,2021,2,114171,97967
UK S-dropout,2021,3,75092,67242
